year,institution,enrolment,intake,intake_rate
1990,ntu,6812.0,1875.0,27.524955960070464
1990,nus,15193.0,5053.0,33.2587375765155
1990,republic_polytechnic,,,
1990,singapore_polytechnic,11348.0,4336.0,38.20937610151569
1990,sit,,,
1990,smu,,,
1990,suss,,,
1990,sutd,,,
1990,temasek_polytechnic,735.0,735.0,100.0
1991,ite,15326.0,8969.0,58.521466788464046
1991,lasalle_degree,,,
1991,lasalle_diploma,,,
1991,nafa_degree,,,
1991,nafa_diploma,,,
1991,nanyang_polytechnic,,,
1991,ngee_ann_polytechnic,12759.0,4508.0,35.3319225644643
1991,nie,1676.0,1236.0,73.74701670644392
1991,ntu,8712.0,2635.0,30.245638200183656
1991,nus,14597.0,4304.0,29.485510721381107
1991,republic_polytechnic,,,
1991,singapore_polytechnic,12327.0,4577.0,37.129877504664556
1991,sit,,,
1991,smu,,,
1991,suss,,,
1991,sutd,,,
1991,temasek_polytechnic,1472.0,873.0,59.307065217391305
1992,ite,14975.0,8743.0,58.383973288814694
1992,lasalle_degree,,,
1992,lasalle_diploma,,,
1992,nafa_degree,,,
1992,nafa_diploma,,,
1992,nanyang_polytechnic,699.0,699.0,100.0
1992,ngee_ann_polytechnic,13330.0,4831.0,36.241560390097526
1992,nie,1559.0,1048.0,67.22257857601026
1992,ntu,9900.0,3004.0,30.343434343434343
1992,nus,14922.0,4541.0,30.431577536523253
1992,republic_polytechnic,,,
1992,singapore_polytechnic,13257.0,4911.0,37.04458022176963
1992,sit,,,
1992,smu,,,
1992,suss,,,
1992,sutd,,,
1992,temasek_polytechnic,2268.0,957.0,42.195767195767196
1993,ite,14903.0,8195.0,54.988928403677114
1993,lasalle_degree,,,
1993,lasalle_diploma,,,
1993,nafa_degree,,,
1993,nafa_diploma,,,
1993,nanyang_polytechnic,3944.0,2342.0,59.38133874239351
1993,ngee_ann_polytechnic,13353.0,4534.0,33.954916498165204
1993,nie,1700.0,1347.0,79.23529411764706
1993,ntu,10410.0,3297.0,31.671469740634006
1993,nus,15395.0,4716.0,30.633322507307568
1993,republic_polytechnic,,,
1993,singapore_polytechnic,13578.0,4723.0,34.784209751067905
1993,sit,,,
1993,smu,,,
1993,suss,,,
1993,sutd,,,
1993,temasek_polytechnic,3107.0,1514.0,48.72867718056003
1994,ite,12254.0,5806.0,47.380447200913984
1994,lasalle_degree,,,
1994,lasalle_diploma,,,
1994,nafa_degree,,,
1994,nafa_diploma,,,
1994,nanyang_polytechnic,5785.0,2581.0,44.61538461538461
1994,ngee_ann_polytechnic,13637.0,4932.0,36.16631223876219
1994,nie,1394.0,997.0,71.52080344332855
1994,ntu,11052.0,3425.0,30.98986608758596
1994,nus,16137.0,5015.0,31.07764764206482
1994,republic_polytechnic,,,
1994,singapore_polytechnic,13865.0,4883.0,35.218175261449694
1994,sit,,,
1994,smu,,,
1994,suss,,,
1994,sutd,,,
1994,temasek_polytechnic,3854.0,1686.0,43.74675661650234
1995,ite,9300.0,4889.0,52.56989247311828
1995,lasalle_degree,,,
1995,lasalle_diploma,,,
1995,nafa_degree,,,
1995,nafa_diploma,,,
1995,nanyang_polytechnic,7291.0,2733.0,37.4845700178302
1995,ngee_ann_polytechnic,14249.0,5210.0,36.5639694013615
1995,nie,1341.0,1024.0,76.36092468307234
1995,ntu,11545.0,3525.0,30.532698137721958
1995,nus,16984.0,5076.0,29.88695242581253
1995,republic_polytechnic,,,
1995,singapore_polytechnic,14019.0,4820.0,34.381910264640844
1995,sit,,,
1995,smu,,,
1995,suss,,,
1995,sutd,,,
1995,temasek_polytechnic,5443.0,2644.0,48.5761528568804
1996,ite,8266.0,4935.0,59.702395354464066
1996,lasalle_degree,,,
1996,lasalle_diploma,,,
1996,nafa_degree,,,
1996,nafa_diploma,,,
1996,nanyang_polytechnic,7764.0,2761.0,35.56156620298815
1996,ngee_ann_polytechnic,14480.0,4793.0,33.100828729281766
1996,nie,2040.0,1659.0,81.32352941176471
1996,ntu,12186.0,3740.0,30.690956835713113
1996,nus,17669.0,5189.0,29.367819344614862
1996,republic_polytechnic,,,
1996,singapore_polytechnic,13912.0,4584.0,32.949971247843585
1996,sit,,,
1996,smu,,,
1996,suss,,,
1996,sutd,,,
1996,temasek_polytechnic,7681.0,3733.0,48.60044265069652
1997,ite,8323.0,5304.0,63.727021506668265
1997,lasalle_degree,,,
1997,lasalle_diploma,,,
1997,nafa_degree,,,
